OBJECTID,SchoolId,EfClass,Tract,YearBuilt,NumStories,Cost,Area,Latitude,Longitude,HUSBT,SO,Name,Address,City,Zipcode,Statea,Contact,PhoneNumber,NumStudents,BackupPower,ShelterCapacity,District,Kitchen
2555,HI001659,EFS1,15003009100,1994,1,142100,812,21.514167,-158.023312,WSF1,EDU1,Helemano Elem - Bldg P12,1001 IHIIHI AVE,WAHIAWA,96786,HI,NULL,NULL,0,0,0,NULL,0
2556,HI001660,EFS1,15003009100,1994,1,142100,812,21.514167,-158.023312,WSF1,EDU1,Helemano Elem - Bldg P13,1001 IHIIHI AVE,WAHIAWA,96786,HI,NULL,NULL,0,0,0,NULL,0
2557,HI001661,EFS1,15003009100,1994,1,142100,812,21.514167,-158.023312,WSF1,EDU1,Helemano Elem - Bldg P14,1001 IHIIHI AVE,WAHIAWA,96786,HI,NULL,NULL,0,0,0,NULL,0
2558,HI001662,EFS1,15003007300,1950,1,1224300,4081,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg F,MANZELMAN ST,HICKAM AFB,96853,HI,NULL,NULL,0,0,0,NULL,0
2559,HI001663,EFS1,15003007300,1950,1,956550,5466,21.342489,-157.963694,WSF1,EDU1,Hickam Elementary - Bldg G,MANZELMAN ST,HICKAM AFB,96853,HI,NULL,NULL,0,0,0,NULL,0
2560,HI001664,EFS1,15003007300,1950,1,1426800,4756,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg H,MANZELMAN ST,HICKAM AFB,96853,HI,NULL,NULL,0,0,0,NULL,0
2561,HI001665,EFS1,15003007300,1950,1,775800,2586,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg I,MANZELMAN ST,HICKAM AFB,96853,HI,NULL,NULL,0,0,0,NULL,0
2562,HI001666,EFS1,15003007300,1965,2,3396000,11320,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg K,MANZELMAN ST,HICKAM AFB,96853,HI,NULL,NULL,0,0,0,NULL,0
2563,HI001667,EFS1,15003007300,1994,1,142100,812,21.342489,-157.963694,WSF1,EDU1,Hickam Elementary - Bldg P8,MANZELMAN ST,HICKAM AFB,96853,HI,NULL,NULL,0,0,0,NULL,0
2564,HI001668,EFS1,15003007300,1950,1,2334000,7780,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg C,MANZELMAN ST,HICKAM AFB,96853,HI,NULL,NULL,0,0,0,NULL,0
2565,HI001669,EFS1,15003007300,1950,1,621000,2070,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg E,MANZELMAN ST,HICKAM AFB,96853,HI,NULL,NULL,0,0,0,NULL,0
2566,HI001670,EFS1,15003008007,1959,2,4601400,15338,21.400958,-157.962619,MERBL,EDU1,Highlands Intermediate - Bldg A,1460 HOOLAULEA ST,PEARL CITY,96782,HI,NULL,NULL,0,0,0,NULL,0
2567,HI001671,EFS1,15003008007,1959,2,3836400,12788,21.400958,-157.962619,MERBL,EDU1,Highlands Intermediate - Bldg B,1460 HOOLAULEA ST,PEARL CITY,96782,HI,NULL,NULL,0,0,0,NULL,0
2568,HI001672,EFS1,15003008007,1961,1,1899300,6331,21.400958,-157.962619,MERBL,EDU1,Highlands Intermediate - Bldg C,1460 HOOLAULEA ST,PEARL CITY,96782,HI,NULL,NULL,0,0,0,NULL,0
2569,HI001673,EFS1,15003008007,1961,1,4083600,13612,21.400958,-157.962619,MERBL,EDU1,Highlands Intermediate - Bldg D,1460 HOOLAULEA ST,PEARL CITY,96782,HI,NULL,NULL,0,0,0,NULL,0
2570,HI001674,EFS1,15003008007,1963,1,1939800,6466,21.400958,-157.962619,MERBL,EDU1,Highlands Intermediate - Bldg G,1460 HOOLAULEA ST,PEARL CITY,96782,HI,NULL,NULL,0,0,0,NULL,0
