OBJECTID,CensusBlock,SURFACEROUGHNESS,SRIndex
2878,150010220001031,0.36900000,0.37000000
2879,150010220002016,0.41500000,0.42000000
2880,150010220002014,0.26500000,0.26000000
2881,150010220001029,0.56900000,0.57000000
2882,150010220002020,0.35400000,0.35000000
2883,150010220002015,0.37100000,0.37000000
2884,150010220002063,0.51000000,0.51000000
2885,150010201002162,0.13800000,0.14000000
2886,150010201002161,0.12800000,0.13000000
2887,150010217023172,0.11300000,0.11000000
2888,150010217023192,0.08800000,0.09000000
2889,150010217023191,0.06600000,0.07000000
2890,150010217043001,0.15000000,0.15000000
2891,150010217041112,0.21500000,0.22000000
2892,150010217042012,0.14300000,0.14000000
2893,150010217023063,0.26800000,0.27000000
2894,150010217022032,0.30100000,0.30000000
2895,150010217021016,0.35500000,0.36000000
2896,150010217021040,0.22700000,0.23000000
2897,150010217021028,0.23000000,0.23000000
2898,150010202021144,0.22500000,0.22000000
2899,150010202021051,0.63400000,0.63000000
2900,150010208024011,0.53400000,0.53000000
2901,150010208012012,0.37000000,0.37000000
2902,150010205003001,0.44100000,0.44000000
2903,150010208021007,0.52600000,0.53000000
2904,150010206002012,0.39700000,0.40000000
2905,150010204001028,0.28800000,0.29000000
2906,150010206001045,0.34300000,0.34000000
2907,150010204001014,0.28800000,0.29000000
2908,150010206001060,0.46200000,0.46000000
2909,150010212021309,0.13100000,0.13000000
2910,150010212021297,0.07800000,0.08000000
2911,150010212022570,0.14300000,0.14000000
2912,150010212022557,0.17300000,0.17000000
2913,150010212022470,0.18300000,0.18000000
2914,150010212022589,0.19100000,0.19000000
2915,150010212022540,0.18800000,0.19000000
2916,150010212022552,0.13800000,0.14000000
2917,150010212022526,0.14600000,0.15000000
2918,150010212022549,0.17500000,0.18000000
2919,150010212022548,0.18800000,0.19000000
2920,150010212024006,0.09600000,0.10000000
2921,150010212024053,0.03800000,0.04000000
2922,150010212022402,0.15500000,0.16000000
2923,150010212022711,0.17800000,0.18000000
2924,150010212022707,0.17400000,0.17000000
2925,150010212022516,0.18000000,0.18000000
2926,150010221022010,0.37100000,0.37000000
2927,150010221021097,0.12100000,0.12000000
2928,150010221021093,0.09500000,0.10000000
2929,150010221021113,0.21600000,0.22000000
2930,150010221022016,0.26200000,0.26000000
2931,150010221022030,0.13000000,0.13000000
2932,150010221022034,0.24800000,0.25000000
2933,150010221022029,0.13500000,0.14000000
2934,150010221022040,0.29400000,0.29000000
2935,150010221021206,0.09900000,0.10000000
2936,150010221021522,0.15500000,0.16000000
2937,150010216044005,0.17500000,0.18000000
2938,150010215071054,0.17000000,0.17000000
2939,150010215071057,0.11900000,0.12000000
2940,150010215071058,0.08000000,0.08000000
2941,150010215071000,0.14600000,0.15000000
2942,150010215073032,0.19200000,0.19000000
2943,150010215071096,0.25500000,0.26000000
2944,150010215071081,0.11000000,0.11000000
2945,150010215042049,0.27200000,0.27000000
2946,150010215042064,0.19400000,0.19000000
2947,150010215042069,0.19700000,0.20000000
2948,150010215042087,0.19300000,0.19000000
2949,150010215042057,0.19100000,0.19000000
2950,150010215042023,0.20200000,0.20000000
2951,150010215042029,0.20200000,0.20000000
2952,150010215041002,0.31700000,0.32000000
2953,150010215042047,0.14100000,0.14000000
2954,150010215042003,0.28700000,0.29000000
2955,150010215042098,0.24800000,0.25000000
2956,150010201001332,0.28500000,0.28000000
2957,150010201001352,0.22700000,0.23000000
2958,150010201001331,0.25000000,0.25000000
2959,150010220001398,0.20000000,0.20000000
2960,150010220001369,0.10900000,0.11000000
2961,150010220001003,0.10800000,0.11000000
2962,150010220001363,0.10600000,0.11000000
2963,150010201004032,0.26600000,0.27000000
2964,150010201001007,0.42800000,0.43000000
2965,150010201001329,0.17300000,0.17000000
2966,150010201001339,0.16900000,0.17000000
2967,150010201001337,0.12600000,0.13000000
2968,150010201001336,0.12000000,0.12000000
2969,150010201002112,0.32400000,0.32000000
2970,150010211061049,0.23500000,0.24000000
2971,150010211011013,0.43000000,0.43000000
2972,150010211011079,0.66300000,0.66000000
2973,150010201003102,0.23400000,0.23000000
